sequence,commit,parents,author_time,commit_time,subject
42,16017171ccba0d3162d00cd20bf18e1b1c4a622a,f9f316c0fbb7f0f0494b30d02c3dbbca043af72c,2026-09-12T04:31:26+08:00,2026-09-12T04:31:26+08:00,update: 明确 CPU ROAM 多阶段执行与并行优化研究定位
43,f1f1b1d4b256bfd2111f0693742f2a4f6c5e5ebe,16017171ccba0d3162d00cd20bf18e1b1c4a622a,2026-09-12T15:30:01+08:00,2026-09-12T15:30:01+08:00,feat: 建立 ROAM 阈值闭包理论工作区
44,e95b85bfb2caab2495606c1bae684fa1317b6a1f,f1f1b1d4b256bfd2111f0693742f2a4f6c5e5ebe,2026-09-12T16:29:38+08:00,2026-09-12T16:29:38+08:00,update: 记录增量阈值维护 Gate 结论并关闭理论支线
45,037c698208e3d7fe491069e58efac249c5d9f88f,e95b85bfb2caab2495606c1bae684fa1317b6a1f,2026-09-12T17:19:13+08:00,2026-09-12T17:19:13+08:00,update: 归档细分表示探索并记录必要依赖分析方向
46,24c6391101d8694f72b233c9c9bd5dc4e40e6a89,037c698208e3d7fe491069e58efac249c5d9f88f,2026-09-12T18:31:18+08:00,2026-09-12T18:31:18+08:00,update: 记录必要依赖审计与工作膨胀测量边界
47,69ab803c267e683fdfc47d181fd061093743943c,24c6391101d8694f72b233c9c9bd5dc4e40e6a89,2026-09-12T19:36:27+08:00,2026-09-12T19:36:27+08:00,update: 记录参数化成本语义审计与拓扑状态物化缺口
48,1e05b242547c535af822239ca2af5bcb82fcbbfd,69ab803c267e683fdfc47d181fd061093743943c,2026-09-12T20:57:31+08:00,2026-09-12T20:57:31+08:00,feat: 建立 ROAM 目标差分物化理论与原型规划
49,d876cea2632032364653f6b0a2643a29efcc2aa7,1e05b242547c535af822239ca2af5bcb82fcbbfd,2026-09-12T22:00:19+08:00,2026-09-12T22:00:19+08:00,feat: 实现 ROAM 目标差分完整状态物化原型
50,d635a9ba346a058591aa5f5890b30fab0462b84b,d876cea2632032364653f6b0a2643a29efcc2aa7,2026-09-12T23:00:34+08:00,2026-09-12T23:00:34+08:00,feat: 实现 ROAM 目标差分物化的有限并行
51,602ed48fe8eece1507dc9d454894922f71f55dca,d635a9ba346a058591aa5f5890b30fab0462b84b,2026-09-13T00:48:37+08:00,2026-09-13T00:48:37+08:00,update: 压缩 ROAM 目标物化的串行工作
52,c2cd2d8d10697b86b876be4162c0d684de59f565,602ed48fe8eece1507dc9d454894922f71f55dca,2026-09-13T01:49:25+08:00,2026-09-13T01:49:25+08:00,update: 规划 ROAM 原生目标决策与物化接入
53,2f04f483f4667b8e6e32de763c0094482cd348a2,c2cd2d8d10697b86b876be4162c0d684de59f565,2026-09-13T04:39:11+08:00,2026-09-13T04:39:11+08:00,feat: 实现 ROAM 原生严格目标规划
54,c36286ffe49190b5e0761a73accd4f4f63a6bb71,2f04f483f4667b8e6e32de763c0094482cd348a2,2026-09-13T16:55:26+08:00,2026-09-13T16:55:26+08:00,update: 优化 ROAM 严格目标规划器的存储与队列维护
55,2f7e5a052d476359a71dbda516c52bbabb46766d,c36286ffe49190b5e0761a73accd4f4f63a6bb71,2026-09-13T17:51:48+08:00,2026-09-13T17:51:48+08:00,update: 审计 ROAM 目标发现与端点物化契约
56,2d8809fa9f05119f67b507463093662fcc7e2f54,2f7e5a052d476359a71dbda516c52bbabb46766d,2026-09-13T20:46:24+08:00,2026-09-13T20:46:24+08:00,update: 补充 ROAM 严格目标发现的候选与成本推导
57,8af1a41d545deaf3d5b5267f852730c1a3471a10,2d8809fa9f05119f67b507463093662fcc7e2f54,2026-09-13T23:45:35+08:00,2026-09-13T23:45:35+08:00,update: 推导独立 greedy 局部预算交换与质量约束
58,1b93ca8cf810dc4e82070b43c287997d9986bedb,8af1a41d545deaf3d5b5267f852730c1a3471a10,2026-09-14T00:36:01+08:00,2026-09-14T00:36:01+08:00,update: 规划全局优先级事务化 CPU LOD
59,64b00aa72d19171ce1a712eea1b918d313447fda,1b93ca8cf810dc4e82070b43c287997d9986bedb,2026-09-14T01:07:54+08:00,2026-09-14T01:07:54+08:00,feat: 定义快照贪心预留执行与质量契约
60,e01cd0673611f75b5c3b2232f70e2cd86ec759e8,64b00aa72d19171ce1a712eea1b918d313447fda,2026-09-14T01:13:37+08:00,2026-09-14T01:13:37+08:00,feat: 验证局部事务组合与续接状态
61,ed277cf984bc47513e46283e7ed5e4de68c55e8f,e01cd0673611f75b5c3b2232f70e2cd86ec759e8,2026-09-14T01:59:01+08:00,2026-09-14T01:59:01+08:00,feat: 增加自然快照事务兑现审计
62,02f351fb80642d9bc6176450b84fea81d1a16d54,ed277cf984bc47513e46283e7ed5e4de68c55e8f,2026-09-14T02:14:29+08:00,2026-09-14T02:15:38+08:00,update: 完成事务化原型准入与持续实现规划
63,b6ddc6d5465c3035caf496495291dcd5f8edd7aa,02f351fb80642d9bc6176450b84fea81d1a16d54,2026-09-14T02:45:43+08:00,2026-09-14T02:45:43+08:00,update: 明确事务化原型准入与持续质量边界
64,1414c3c853ad0ac75e36cedea8c3548d7835a5b1,b6ddc6d5465c3035caf496495291dcd5f8edd7aa,2026-09-14T03:31:57+08:00,2026-09-14T03:31:57+08:00,feat: 实现事务化 LOD 单批串行内核
65,749d48f26a0c6a158a9cbf888905515e24312863,1414c3c853ad0ac75e36cedea8c3548d7835a5b1,2026-09-14T04:02:03+08:00,2026-09-14T04:02:03+08:00,feat: 补齐事务化 LOD 局部续接与增量输出
66,74d776298cab1f230f59ae7ee8d774365fb57715,749d48f26a0c6a158a9cbf888905515e24312863,2026-09-14T04:27:57+08:00,2026-09-14T04:27:57+08:00,feat: 增加事务化 LOD 动态参考与视图续接
67,9b3711fedaa15d781a56d3701d64426abb9d8a31,74d776298cab1f230f59ae7ee8d774365fb57715,2026-09-14T04:59:31+08:00,2026-09-14T04:59:31+08:00,feat: 完成事务化 LOD 有限多核原型
68,d63b417ee16ae0b55444e90816d02e162362b99a,9b3711fedaa15d781a56d3701d64426abb9d8a31,2026-09-14T05:12:41+08:00,2026-09-14T05:12:41+08:00,update: 分析持续事务原型的接入成本与性能空间
69,b13aaf55d54df91db8fe92d82e0db1b79741347d,d63b417ee16ae0b55444e90816d02e162362b99a,2026-09-14T05:23:28+08:00,2026-09-14T05:23:28+08:00,update: 补充同会话环境复核并校正性能分析
70,77ef897be8574fcf0d12ccc9c511ca82829f6f5f,b13aaf55d54df91db8fe92d82e0db1b79741347d,2026-09-14T15:08:40+08:00,2026-09-14T15:08:40+08:00,update: 规划函数热点采集与事务原型工作削减
71,081c90f2047c2c7d326556c4c12bcadd68b0dc3b,77ef897be8574fcf0d12ccc9c511ca82829f6f5f,2026-09-14T15:33:30+08:00,2026-09-14T15:33:30+08:00,feat: 建立 CPU 函数采样与时序工具能力
72,fa8bfac5993ca4091b6fbdd1a7179ec66469e64e,081c90f2047c2c7d326556c4c12bcadd68b0dc3b,2026-09-14T16:02:51+08:00,2026-09-14T16:02:51+08:00,feat: 接入自然轨迹的 perf 函数采样窗口
73,51c7521f2d6640ea22b973fc63fc3245f5817012,fa8bfac5993ca4091b6fbdd1a7179ec66469e64e,2026-09-14T16:21:18+08:00,2026-09-14T16:21:18+08:00,feat: 接入 Tracy 函数区间与线程任务时序
74,8ef2882ac914e2e24d3b03eb3d232a327b9f968d,51c7521f2d6640ea22b973fc63fc3245f5817012,2026-09-14T16:36:40+08:00,2026-09-14T16:36:40+08:00,feat: 统一家族采集入口并记录函数热点归因
75,114c00da42357996fa5e915c80ddb886d1f50d49,8ef2882ac914e2e24d3b03eb3d232a327b9f968d,2026-09-14T20:53:23+08:00,2026-09-14T20:53:23+08:00,update: 补充函数热点明细与事务算法成本说明
76,7425736fc6a4be1ed82b732122043c4c93fdfe4b,114c00da42357996fa5e915c80ddb886d1f50d49,2026-09-14T22:27:16+08:00,2026-09-14T22:27:16+08:00,update: 削减事务化 LOD 的视图与提案维护开销
77,c7e6cd10769a5764551b73a9a6e0b2086921543e,7425736fc6a4be1ed82b732122043c4c93fdfe4b,2026-09-15T00:07:31+08:00,2026-09-15T00:07:31+08:00,feat: 增加事务化 LOD 的规模扩展实验与成本报告
78,880574cbe1e7684f963519d3e1c3f17f7d9990ec,c7e6cd10769a5764551b73a9a6e0b2086921543e,2026-09-15T00:30:31+08:00,2026-09-15T00:30:31+08:00,update: 规划事务化 LOD 的平台接入
79,b7b4a52f952e2253d336f36eed79a606bf096f0c,880574cbe1e7684f963519d3e1c3f17f7d9990ec,2026-09-15T00:50:33+08:00,2026-09-15T00:50:33+08:00,update: 整理事务化运行核心与共享线程执行依赖
80,2341710a409c063e60b7ed924541cee122ad6c7d,b7b4a52f952e2253d336f36eed79a606bf096f0c,2026-09-15T01:20:52+08:00,2026-09-15T01:20:52+08:00,feat: 接入事务化 LOD 公共算法与输入契约
81,a4f4fd93b6434e6451e00ee2e0852959aae2e9d1,2341710a409c063e60b7ed924541cee122ad6c7d,2026-09-15T01:42:30+08:00,2026-09-15T01:42:30+08:00,feat: 接通事务化 LOD 应用选择与 OpenGL 输出
82,4b66cb68cbe3f2b8135f2060d15de394b341dabc,a4f4fd93b6434e6451e00ee2e0852959aae2e9d1,2026-09-15T01:57:52+08:00,2026-09-15T01:57:52+08:00,feat: 接通事务化 LOD 的 D3D12 消费与恢复
83,01ecf96ba9a4532206596e5b0c974d75dc0b4fb1,4b66cb68cbe3f2b8135f2060d15de394b341dabc,2026-09-15T02:26:02+08:00,2026-09-15T02:26:02+08:00,feat: 完成事务化 LOD 平台回放与质量观测
84,de377ee65a1eb69f62a626c2b47d40beebf28e65,01ecf96ba9a4532206596e5b0c974d75dc0b4fb1,2026-09-15T03:42:56+08:00,2026-09-15T03:42:56+08:00,feat: 增加事务化 LOD 质量溯源与存活点高度消融
85,27d9316d893245ba164475c13031d1965b423092,de377ee65a1eb69f62a626c2b47d40beebf28e65,2026-09-15T17:51:17+08:00,2026-09-15T17:51:17+08:00,feat: 建立实验输入与证据契约
86,874866849e45390a64277e8a86f02b96acb36caf,27d9316d893245ba164475c13031d1965b423092,2026-09-15T17:51:40+08:00,2026-09-15T17:51:40+08:00,feat: 扩充实验地形资产与来源清单
87,243df36dc381e7b8c3a77a1e8a0d52acc433b26a,874866849e45390a64277e8a86f02b96acb36caf,2026-09-15T17:52:02+08:00,2026-09-15T17:52:02+08:00,feat: 增加实验材质与双后端帧采集
88,c6050a34e85cc730d04909dcab421122c35e5ba4,243df36dc381e7b8c3a77a1e8a0d52acc433b26a,2026-09-15T17:54:03+08:00,2026-09-15T17:54:03+08:00,feat: 沉淀冻结相机与录制回放状态
89,9dbb83d1af0144e99315045335caf1dbe3fa9af0,c6050a34e85cc730d04909dcab421122c35e5ba4,2026-09-15T17:54:44+08:00,2026-09-15T17:54:44+08:00,feat: 接通实验面板与通用回放流程
90,e2995f510543db070bba0557f259797816ab548b,9dbb83d1af0144e99315045335caf1dbe3fa9af0,2026-09-15T17:55:14+08:00,2026-09-15T17:55:14+08:00,feat: 统一实验计量与独立质量归约
91,8e15a1f821fdaeba0781a2f621379333c262c17d,e2995f510543db070bba0557f259797816ab548b,2026-09-15T17:55:33+08:00,2026-09-15T17:55:33+08:00,feat: 生成可追溯实验图表与中文报告
92,474841d0c70d8f5b2886e6f42b69714492e5adf9,8e15a1f821fdaeba0781a2f621379333c262c17d,2026-09-15T17:59:54+08:00,2026-09-15T17:59:54+08:00,update: 沉淀实验完整案例与阶段交付记录
93,64e478ad016f245f4e1db21f953662fe6cbf739b,474841d0c70d8f5b2886e6f42b69714492e5adf9,2026-09-15T18:31:12+08:00,2026-09-15T18:31:12+08:00,feat: 追溯冻结旧点策略的残余质量来源
94,f195fda3d3ea74cf971253f0284d759721508908,64e478ad016f245f4e1db21f953662fe6cbf739b,2026-09-15T19:33:07+08:00,2026-09-15T19:33:07+08:00,feat: 增加单高度拟合的反事实质量诊断
95,eebf9bdb45e88e71fee623e1b8e6dce5deb8f313,f195fda3d3ea74cf971253f0284d759721508908,2026-09-15T20:17:48+08:00,2026-09-15T20:17:48+08:00,feat: 增加固定局部域的连接恢复诊断
96,39767a809d497e577cdce25a48ef0a44afe66d95,eebf9bdb45e88e71fee623e1b8e6dce5deb8f313,2026-09-15T23:24:06+08:00,2026-09-15T23:24:06+08:00,feat: 接入固定几何的净零翻边恢复
97,2c3ccf8c56ae398fd247756d4a84c8365e8b2dc8,39767a809d497e577cdce25a48ef0a44afe66d95,2026-09-15T23:40:53+08:00,2026-09-15T23:40:53+08:00,feat: 接通恢复策略并冻结首轮正式实验
98,3d8b352f6663dfde5716e99d4b4f40a8c1a336d0,2c3ccf8c56ae398fd247756d4a84c8365e8b2dc8,2026-09-16T00:27:50+08:00,2026-09-16T00:27:50+08:00,update: 记录首轮正式实验的质量与性能边界
99,3427141871e0aa2d0456fd5a95c9c9399ab3bd19,3d8b352f6663dfde5716e99d4b4f40a8c1a336d0,2026-09-16T01:17:06+08:00,2026-09-16T01:17:06+08:00,update: 明确 CBT 迁入阶段与 DOD 代码风格
100,8631320b0a69376567b9dd2b85c102bbc9b290fe,3427141871e0aa2d0456fd5a95c9c9399ab3bd19,2026-09-16T01:40:59+08:00,2026-09-16T01:40:59+08:00,feat: 迁入 CBT 参考核心与构建边界
101,7157ea7de79bc447af8d3e15cb8d53363fb73037,8631320b0a69376567b9dd2b85c102bbc9b290fe,2026-09-16T02:19:59+08:00,2026-09-16T02:19:59+08:00,feat: 接入 CBT 持续 GPU 输出与平台控制
102,df13a92d88e1ae0fdf68221482d641c897938969,7157ea7de79bc447af8d3e15cb8d53363fb73037,2026-09-16T02:41:57+08:00,2026-09-16T02:41:57+08:00,feat: 接通 CBT 同代网格捕获与独立实验记录
103,212bb483df00e6800cf1d0330047d23a4949462d,df13a92d88e1ae0fdf68221482d641c897938969,2026-09-16T03:17:19+08:00,2026-09-16T03:17:19+08:00,update: 完成 CBT 有限质量比较与接入记录
104,dcfc01a3207f15c78294ce7eecab303c8994165b,212bb483df00e6800cf1d0330047d23a4949462d,2026-09-16T03:36:45+08:00,2026-09-16T03:36:45+08:00,feat: 统一 CBT 实验观测与适用矩阵
105,1ddb2499b52d7e47a857cdac7595a5009374596f,dcfc01a3207f15c78294ce7eecab303c8994165b,2026-09-16T04:03:51+08:00,2026-09-16T04:03:51+08:00,feat: 接通四算法统一报告与正式实验编排
106,21451dc229418f6c5836dc3374826d952e7a4dea,1ddb2499b52d7e47a857cdac7595a5009374596f,2026-09-16T05:15:36+08:00,2026-09-16T05:15:36+08:00,feat: 完成四算法总体实验与质量成本报告
107,01c05834b921adf40379a95ac4664cd90bd953be,21451dc229418f6c5836dc3374826d952e7a4dea,2026-09-16T11:31:12+08:00,2026-09-16T11:31:12+08:00,update: 记录质量性能问题清单与分阶段闭环规划
108,e0a69c7238badae85d3c9bf4a9fb56aaacd74754,01c05834b921adf40379a95ac4664cd90bd953be,2026-09-16T12:29:52+08:00,2026-09-16T12:29:52+08:00,feat: 增加质量恢复追溯并记录边界与候选阻塞
109,b1174d40009cbcf734ff68dbe83c1efd1e120852,e0a69c7238badae85d3c9bf4a9fb56aaacd74754,2026-09-16T19:31:22+08:00,2026-09-16T19:31:22+08:00,feat: 增加外边界恢复可行性审计并前移质量阶段
110,60bd106fcb8d4f22c34a6f61efde9faa4e833816,b1174d40009cbcf734ff68dbe83c1efd1e120852,2026-09-16T21:01:46+08:00,2026-09-16T21:01:46+08:00,feat: 接入单侧边界细分与混合面数预算
111,644bbf712a9a79d3c58d022f5d1472d1ae7d77ab,60bd106fcb8d4f22c34a6f61efde9faa4e833816,2026-09-16T22:06:47+08:00,2026-09-16T22:06:47+08:00,update: 核查误差目标与候选请求错位
112,5ddadcfb28b9c677fdefbdfc94395dc10736cb1a,644bbf712a9a79d3c58d022f5d1472d1ae7d77ab,2026-09-16T23:27:59+08:00,2026-09-16T23:27:59+08:00,feat: 增加误差优先接收排序并记录有限质量对照
113,54fa2b239908c7a9800d1871b4de85d66ccb4daa,5ddadcfb28b9c677fdefbdfc94395dc10736cb1a,2026-09-17T01:00:06+08:00,2026-09-17T01:00:06+08:00,update: 补充误差优先策略归因并重审质量与成本结构
114,031b6391eaf1fdd12af34fa50f6afa6526881a25,54fa2b239908c7a9800d1871b4de85d66ccb4daa,2026-09-17T02:58:30+08:00,2026-09-17T02:58:30+08:00,feat: 增加逐点质量契约审计与形式推导索引
115,99947eddf8d5ea304b00aa97e962913393455da7,031b6391eaf1fdd12af34fa50f6afa6526881a25,2026-09-17T03:27:12+08:00,2026-09-17T03:27:12+08:00,feat: 建立一般三角化事务模型与局部操作嵌入
116,f297838ab4018ca384b457b9fab1fa5c2396332d,99947eddf8d5ea304b00aa97e962913393455da7,2026-09-17T03:47:49+08:00,2026-09-17T03:47:49+08:00,feat: 推导一般事务资源组合与有符号预算
117,c2cc2788039a8448abddb64b5c3f54395cce65aa,f297838ab4018ca384b457b9fab1fa5c2396332d,2026-09-17T04:02:15+08:00,2026-09-17T04:02:15+08:00,feat: 建立一般事务质量组合与适用边界
118,b4373159e26879994f06e1ebb106866463682f5b,c2cc2788039a8448abddb64b5c3f54395cce65aa,2026-09-17T08:49:38+08:00,2026-09-17T08:49:38+08:00,feat: 接入显式质量目标与逐点损伤约束
119,736f9ed7af03284235f420545ab698db62b4f833,b4373159e26879994f06e1ebb106866463682f5b,2026-09-17T12:22:26+08:00,2026-09-17T12:22:26+08:00,feat: 增加提案可行域审计与质量见证复核
120,febb0d14b98cb3c00e6a7c6da68baa1292831936,736f9ed7af03284235f420545ab698db62b4f833,2026-09-17T13:00:53+08:00,2026-09-17T13:00:53+08:00,update: 追溯新质量政策的认证与重复失败成本
121,89773d68e87832d68bcf0fc99994f83fd8011a31,febb0d14b98cb3c00e6a7c6da68baa1292831936,2026-09-17T13:51:03+08:00,2026-09-17T13:51:03+08:00,update: 降低逐点质量认证的重复求值成本
122,5a18cb1c45b0ccc51e6e24dcb5b7b0e0f84c5ac3,89773d68e87832d68bcf0fc99994f83fd8011a31,2026-09-17T14:12:10+08:00,2026-09-17T14:12:10+08:00,update: 复用不变状态下的空批规划结果
